5.16775E+17,Tue Sep 30 02:24:02 +0000 2014,Didn't ever think Tom Brady would suck so bad
5.16794E+17,Tue Sep 30 03:35:49 +0000 2014,“@LifeAsBros: Poor Tom Brady http://t.co/7YTJagyzaB” @baylee_helmick
5.16785E+17,Tue Sep 30 03:01:17 +0000 2014,Tom Brady you suck now I think it's time to retire.
5.17006E+17,Tue Sep 30 17:39:26 +0000 2014,Never thought I'd say this...I just benched Tom Brady.
5.16777E+17,Tue Sep 30 02:31:29 +0000 2014,“@HackswithHaggs: Bring on Jimmy Football. Something's got to change tonight - Tom Brady is completely rattled can't hurt” @kirkmin yes?
5.16788E+17,Tue Sep 30 03:12:02 +0000 2014,Tom Brady? More like Cindy Brady.
5.16803E+17,Tue Sep 30 04:12:41 +0000 2014,Nothing makes me feel old like professional sports. I drafted Tom Brady in fantasy because he's young and good. Turns out he's near death?
5.17035E+17,Tue Sep 30 19:34:32 +0000 2014,#SportsGuy Harrison: Brady 'scared to death' in pocket: Former New England Patriots safety Rodne... http://t.co/qz04bMZW68 #HeavyHitters
5.16784E+17,Tue Sep 30 02:57:12 +0000 2014,tom brady is hot but he looks like shit right now in this game
5.17189E+17,Wed Oct 01 05:49:14 +0000 2014,I think Tom Brady needs to retire @nfl @Patriots
5.16777E+17,Tue Sep 30 02:31:44 +0000 2014,Tom Brady on  some other shit
5.1714E+17,Wed Oct 01 02:33:53 +0000 2014,"@THE_ELPRESADOR  ""@southpquotes: Tom Brady yesterday http://t.co/6uupdALpis"""
5.16776E+17,Tue Sep 30 02:25:40 +0000 2014,Tom Brady picked off. Oh my.The #Chiefs did a great job blocking as Smith returned the interception. #NEvsKC #MNF
5.16927E+17,Tue Sep 30 12:25:09 +0000 2014,"""Tom Brady"" is trending at rank 3 in Canada as of 08:24 AM AST via @TrendieCA"
5.16838E+17,Tue Sep 30 06:32:03 +0000 2014,"@DougDCBTito4lif But, but, Tom Brady has rings... Lol. #NeverHisFault"
5.17056E+17,Tue Sep 30 20:57:32 +0000 2014,Harrison: Brady 'scared to death' in pocket: Former New England Patriots safety Rodney Harrison said Tuesday t... http://t.co/xvqp8WLKbT
5.1679E+17,Tue Sep 30 03:20:44 +0000 2014,"&amp; it was at this moment that Tom Brady knew, he fucked up. 😂😂😂😂"
5.16775E+17,Tue Sep 30 02:23:32 +0000 2014,Tom Brady is the worst quarterback in the league
5.16787E+17,Tue Sep 30 03:08:00 +0000 2014,"@MatthewBerryTMR Tom Brady droppable in dynasty leagues? Have R. Wilson and decent (Tannehill, Al.Smith) on FA."
5.16784E+17,Tue Sep 30 02:58:41 +0000 2014,Eff'ing A. Tom Brady is going all Rex Grossman on me tonight a la @TeamDangerKitty.
5.16784E+17,Tue Sep 30 02:56:09 +0000 2014,Tom Brady look like 💩
5.16786E+17,Tue Sep 30 03:04:54 +0000 2014,Me and Tom Brady are having the same kinda monday
5.16775E+17,Tue Sep 30 02:23:25 +0000 2014,TOM  BRADY TOP 5 QB
5.16784E+17,Tue Sep 30 02:58:31 +0000 2014,Tom Brady
5.1677E+17,Tue Sep 30 02:03:23 +0000 2014,What's going on with tom Brady I'm confused
5.16775E+17,Tue Sep 30 02:23:34 +0000 2014,Tom Brady GOAT
5.16776E+17,Tue Sep 30 02:24:55 +0000 2014,Geno Smith &gt; Tom Brady
