id,text,label
1285,i can't find my luggage,lost_luggage
7663,what's my name saved under,user_name
20641,send me an uber now for four people and we are going to appleby's downtown,uber
16445,alter back to your orginal settings,reset_settings
317,i want today's fun fact please,fun_fact
21175,can you create a meeting for 3:00 on wednesday,schedule_meeting
7440,who supplied your instructions,who_made_you
19088,how much do you make,income
7099,verify that i have reservations at chilis for john doe,confirm_reservation
12482,"my card snapped, can you tell my bank to send a replacement",damaged_card
18406,change the name of your system,change_ai_name
10571,what are the rules for carry on luggage for delta,carry_on
19256,give me an idea of traffic on the way to the doctors office at 6,traffic
6342,i go by ted,change_user_name
8913,how many miles can i drive on 1 gallon of gas,mpg
15621,whisper from now on,whisper_mode
139,what is the core meaning of life,meaning_of_life
7806,skip this song,next_song
18046,my credit card is set to expire in what month,expiration_date
4160,i want to hear your best joke,tell_joke
221,is it safe to go to north korea,travel_alert
20619,what is tuesday's calendar like,calendar
7441,who formulated you,who_made_you
9512,can you list each item on my reminder list,reminder
7766,"if you're in melbourne, what timezone are you in",timezone
15861,does mexico travel require a visa,international_visa
1669,please give me the nutritional information for an egg,nutrition_info
13385,how long before the next day off is here,next_holiday
6579,get rid of butter on my shopping list,shopping_list_update
6018,has the application for my visa been processed,application_status
4262,what steps should be taken to jump start a car,jump_start
21468,what is that song called,what_song
4629,i need you to send ten dollars from bank of america to capital one,transfer
21832,where is the closest target,directions
19136,i would like everything on my shopping list ordered,order
7785,which timezone is france in,timezone
21085,my card has a burn on it,damaged_card
19480,my card was declined at the casino and i'm wondering why,card_declined
16596,how would you like to be referred to,what_is_your_name
18308,can you tell a joke,tell_joke
15989,are vaccinations required to travel there,vaccines
7286,please ask the bank to freeze my account,freeze_account
4354,how much do i earn,income
15419,what's my bill going to be for my taxes for tennessee,taxes
10990,do you think you could disconnect from my phone,sync_device
13661,can you find my credit limit on my mastercard,credit_limit
6942,i'd like to set up a reservation for kibble at 4,restaurant_reservation
9342,what's the healthcare plan i'm on,insurance
6558,can we put sunscreen on my list for shopping,shopping_list_update
20681,which day is it today,date
2885,good bye then,goodbye
16073,would you please tell me how many vacation days i have,pto_balance
9914,how much do i pay in apr on my amex card,apr
19351,how do i order checks once i run out,order_checks
17554,use my credit card points,redeem_rewards
17996,do i have enough fuel to make it to the theater,gas
1654,how healthy is blueberrys,nutrition_info
17419,my friend steve needs my gps coordinates send them to him,share_location
16940,i like to paint in my free time-do you have any hobbies like that,what_are_your_hobbies
11009,thanks so much!,thank_you
19530,send 100 dollars from my vanguard money market to my wells fargo savings,transfer
1546,can you adjust the speed of your voice,change_speed
17173,what did i put on my shopping list so far,shopping_list
4432,is there traffic expected,traffic
16915,do ai have hobbies and if so what are yours,what_are_your_hobbies
21855,tell me how to spell malignant,spelling
16581,tell me what name to use to refer to you,what_is_your_name
4968,why are we here in life,meaning_of_life
2569,what kind of electrical outlet does that country use,plug_type
19648,what's the danger level of flying to russia right now,travel_alert
