ID,SOURCE,REVIEW BY,REVIEW DATE,REVIEW SUBJECT,text,REVIEW RATING,REVIEW TYPE
1,Trip Advisor,3612,4/30/2014,To commercial,"This reativly new temple was a big hindu version of Disney Land.... Quite expensive entrance for a temple. I accept the religious dress code so i was not alowed to enter in shorts. I had to rent an Indian lunghi, male long dress. The guards was not polite, almost unfriendly. One lady guard was about to destroy my expensive camera wich i had to leave outside. Inside the temple it was to follow the marked way. Somwhere you was blessed by some holy man. But everywhere there was stands with different things for sale. Worst was the way out with an enormous market with holy souvenirs of different quality, most kitscy plastic things"" made in China"". The holy experience i had looked forward to have dissapeared in a commercial thing. All they wanted was my money.",2,NEGATIVE
2,Trip Advisor,9573519851,7/24/2015,?Amazing temple in Bangalore?,Me and my friends enjoyed a lot in ISKCON temple Its a one of the most biggest temple in Bangalore and you have to visit it,5,POSITIVE
3,Trip Advisor,???? ?,7/28/2016,A well maintained temple,Otherworldly vibrations throuout the sanctuary. Over all excellent experience 2 eateries inside. Free annadana prasadam full dinners in evening. Kichdi prasadam constantly accessible,5,POSITIVE
4,Trip Advisor,????? ?,8/23/2016,Temple,"ISKCON temple is very good, located in west of cord road, Rajajinagar, Bangalore. It in hill and the god Sri Krishna is very good. Please visit this place.",5,POSITIVE
5,Google + HK HILL,????? Anil,11/27/2015,,This is a very good place to be for all the devotees and those who believe in the ultimate God.,4,POSITIVE
6,Facebook,?????? ????? ???? ????????,11/27/2016,NA,"Amazing, you come here from the comfort of God rejoice in the memory.",5,POSITIVE
7,Google + HK HILL,?HÁ?ØW G,8/2/2016,NA,Awsome..,5,POSITIVE
8,Trip Advisor,_sharmilap37,3/29/2017,Visit to iskcon,"If you are a spiritual person you will love Iskcon its a great place for meditation and bhajan, its a wonderful Temple",5,POSITIVE
9,Trip Advisor,0iamsid0,1/3/2017,Fully commercialized place,"Place is good and is situated in a hilltop. However, the place is fully commercialized and for everything you need money.",4,NEGATIVE
10,Trip Advisor,1 All over,4/2/2017,Off the beaten path,"I went sightseeing in three people. Wide in unexpectedly, it is the most deep atmosphere in the way of local. Worship barefoot. People of shorts will visit dressed in cloth (rental). Yes Snack Corner, ants and souvenirs, is there a buffet restaurant, it has to some extent touristy, is only less expensive that the local-friendly, is heterogeneous. Worship time will take quite. Severe in 1 hour.",5,POSITIVE
